assetId,tokenNumber,name,text,score,imagePath
H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1,2422,drifella 2 #2422,SHITS ALL RETARDED,0.9615251918633779,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H2C89PLEFBoL4YWe5ASMncKgbK6wZpKFZLkvBo449Jz1/image.png
H224jyDQcUNvr9U56cGfcLPo2hvbkdEM8VNvh5g8cqot,2406,drifella 2 #2406,solana,0.9812909265359243,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H224jyDQcUNvr9U56cGfcLPo2hvbkdEM8VNvh5g8cqot/image.png
H224jyDQcUNvr9U56cGfcLPo2hvbkdEM8VNvh5g8cqot,2406,drifella 2 #2406,FORTNITE,0.9804934859275818,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H224jyDQcUNvr9U56cGfcLPo2hvbkdEM8VNvh5g8cqot/image.png
H224jyDQcUNvr9U56cGfcLPo2hvbkdEM8VNvh5g8cqot,2406,drifella 2 #2406,BULLS,0.9885108351707459,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H224jyDQcUNvr9U56cGfcLPo2hvbkdEM8VNvh5g8cqot/image.png
H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf,5544,drifella 2 #5544,cani get a copy,0.992646869023641,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf,5544,drifella 2 #5544,of Black Ops 2,0.9958501841340747,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf,5544,drifella 2 #5544,for the,0.9998078516551426,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf,5544,drifella 2 #5544,Playstation 3,0.9870034541402545,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf,5544,drifella 2 #5544,BLADEE,0.9400565028190613,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H1mv1sD7yvW2eErdLdRiHDz57XTNpBbAdiSaLK1Xr4uf/image.png
H21MwR7oRTTRv2xzPgBkGb924s5JmapJa2DwTfjjse6K,7835,drifella 2 #7835,STEROR,0.7293059130509695,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H21MwR7oRTTRv2xzPgBkGb924s5JmapJa2DwTfjjse6K/image.png
